	MLMSG2*	LMSG2*	MLMSG4	LMSG4	MLMSG8	LMSG8	MLMSG16	LMSG16	MLMSG32	LMSG32	MLMSG64	LMSG64	MLMSG128	LMSG128	MLMSG256	LMSG256	MLMSG512	LMSG512	MLMSG1024	LMSG1024	MLMSG2048	LMSG2048	MLMSG4096	LMSG4096
YP-130	0.0826	0.1614	0.0705	0.1718	0.016	0.137	0.159	0.041	0.112	0.052	-0.031	-0.026	0.064	-0.033	-0.06	0.09	0.125	0.009	0.033	0.113	-0.043	0.063	-0.157	0.06
WS-353	0.5031	0.5884	0.4828	0.5677	0.53	0.56	0.494	0.507	0.506	0.505	0.46	0.505	0.403	0.446	0.268	0.468	0.084	0.429	-0.015	0.311	0.108	0.32	0.071	0.358
WS-353-SIM	0.2635	0.4743	0.2567	0.454	0.27	0.408	0.282	0.328	0.27	0.289	0.242	0.259	0.105	0.255	0.054	0.215	-0.027	0.198	0.072	0.141	0.13	0.059	0.103	0.156
WS-353-REL	0.3547	0.5217	0.3422	0.5059	0.372	0.481	0.366	0.413	0.363	0.382	0.305	0.357	0.207	0.31	0.132	0.305	0.019	0.274	0.035	0.198	0.143	0.169	0.111	0.224
Verb-143	0.1874	0.332	0.2361	0.337	0.217	0.296	0.241	0.277	0.185	0.24	0.194	0.201	0.129	0.168	0.019	0.16	0.078	0.121	0.054	0.128	0.104	0.118	0.042	0.035
SimVerb-3500	-0.0505	0.1197	-0.0204	0.1134	-0.04	0.098	-0.015	0.065	-0.024	0.023	-0.056	-0.003	-0.068	-0.03	-0.1	-0.039	-0.107	-0.031	-0.101	-0.026	-0.07	-0.031	-0.067	-0.036
SimLex-999	0.0988	0.2343	0.1108	0.2284	0.099	0.207	0.118	0.168	0.103	0.133	0.078	0.11	0.063	0.082	-0.005	0.07	0.007	0.063	0.018	0.051	-0.046	0.044	0.001	0.039
Rare-Word	0.165	0.5567	0.2607	0.5467	0.233	0.49	0.233	0.403	0.263	0.312	0.154	0.23	0.132	0.125	0.107	0.131	-0.033	0.109	0.088	0.133	0.041	0.119	0.08	0.054
RG-65	0.0735	0.6706	0.25	0.6882	0.065	0.621	0.227	0.485	0.215	0.344	-0.268	0.141	-0.221	-0.141	-0.268	-0.094	-0.156	-0.221	-0.35	-0.238	-0.185	-0.2	-0.109	-0.503
MTurk-771	0.2877	0.5297	0.3789	0.5239	0.377	0.475	0.366	0.414	0.373	0.378	0.294	0.323	0.2	0.253	0.146	0.201	0.076	0.169	0.065	0.14	0.045	0.147	0.018	0.107
MTurk-287	0.3236	0.6681	0.4272	0.6524	0.416	0.643	0.392	0.521	0.432	0.425	0.358	0.326	0.27	0.252	0.264	0.178	0.264	0.129	0.21	0.178	0.073	0.294	0.228	0.192
MEN	0.3192	0.5622	0.3624	0.5613	0.367	0.506	0.359	0.434	0.352	0.366	0.333	0.33	0.288	0.291	0.231	0.28	0.161	0.273	0.058	0.255	-0.011	0.247	-0.02	0.243
MC-30	-0.3167	0.45	0.0167	0.4833	-0.05	0.333	0.033	0.1	0.017	0.133	-0.6	0	-0.333	-0.617	0	-0.25	0.167	-0.2	-0.317	-0.817	0.217	-0.667	-0.067	-0.467
																								
																								
																								
	no_w2v	pretrained	MLMSG2*	MLMSG4	MLMSG8	MLMSG16	MLMSG32	MLMSG64	MLMSG128	MLMSG256	MLMSG512	MLMSG1024	MLMSG2048	MLMSG4096										
val. Loss	0.581	0.633	0.571	0.567	0.567	0.567	0.567	0.568	0.57	0.572	0.576	0.58	0.586	0.591										
R^2	0.258	0.213	0.276	0.277	0.276	0.276	0.277	0.277	0.273	0.271	0.266	0.262	0.255	0.247										
